,Date,User_ID,Tweet_ID,Location,Tweets,Favorite Count,Retweet Count,Source
33,2022-04-27,64109894,1519411089204776962,"Los Angeles, CA",RT @LaMonicaBuzz: Coca-Cola earnings were solid. The stock has outperformed the broader market this year too as investors flock to companie…,0,2,
47,2022-04-27,18179525,1519394425058721793,"Pre: 34.0974,-117.99023","RT @CorpTyrannyStop: At a recent #EarthDay event,  @CocaCola  teamed up with a D.C. councilman who has claimed that JEWS CONTROL THE WEATHE…",0,1,
49,2022-04-27,1502324368852066306,1519389795881041921,,"Best and worst performing Dow Jones stocks so far today

Best:
1 Visa $V
2 Microsoft $MSFT
3 Salesforce $CRM
4 Caterpillar $CAAT
5 Nike $NKE
6 Coca-Cola $KO
7 Home Depot $HD

Worst:
1 Boeing $BA
2 Cisco $CSCO
3 Verizon $VZ
4 $JNJ
5 JPMorgan $JPM
6 Walgreens $WBA
7 $AXP",0,0,
50,2022-04-27,2344420430,1519389519841214468,United States,"$KO:

New Insider Filing on COCA COLA CO's

SVP &amp; Chief People Officer

LISA CHANG:

https://t.co/KZyWWXGK88",0,0,https://insideri.com/21344_000112760222012569_0001127602-22-012569
51,2022-04-27,1374032130959900673,1519389193436377088,Washington D.C.,"At a recent #EarthDay event,  @CocaCola  teamed up with a D.C. councilman who has claimed that JEWS CONTROL THE WEATHER! 

Woke-a-Cola officials think it is okay to associate with people who embrace hateful rhetoric. 
https://t.co/dxpsCMLyKG $KO #CocaCola #coke #WashingtonDC https://t.co/Ap73ThAy7E",1,1,https://bit.ly/3rHc64D
56,2022-04-27,2344420430,1519387010221457412,United States,"$KO:

New Insider Filing on COCA COLA CO's

President &amp; COO

BRIAN JOHN SMITH:

https://t.co/Gqj8THZkqL",0,0,https://insideri.com/21344_000112760222012567_0001127602-22-012567
57,2022-04-27,1371371521621508097,1519386668150800384,,"KO (COCA COLA CO) 🚨 #Insider #stock alert! 💰 #Sale on 2022-04-25 - $KO 🇺🇸: SMITH BRIAN JOHN (President &amp; COO), total amount $2.400.096",0,0,
58,2022-04-27,336116161,1519386315460124674,,"RT @StockMKTNewz: Best and worst performing Dow Jones stocks so far today

Best:
1 Visa $V
2 Microsoft $MSFT
3 Salesforce $CRM
4 Caterpilla…",0,2,
68,2022-04-27,79789868,1519376975302782976,Denver,"RT @SteveWagsInvest: Some buy &amp; hold forever dividend stocks💰

$PG Procter &amp; Gamble
$AAPL Apple
$JNJ Johnson &amp; Johnson
$KHC Kraft Heinz
$PE…",0,37,
74,2022-04-27,963495628545327104,1519371075901136898,,$KO NEW ARTICLE : Coca-Cola Board of Directors Declares Regular Quarterly Dividend https://t.co/U6cQPRKRjn Get all the latest $KO related news here : https://t.co/2RhI5rgGWj https://t.co/rqjZsszoY9,0,0,https://www.stck.pro/news/KO/26861618
77,2022-04-27,1250830691824283648,1519369968533622785,"New York, NY","Coca-Cola $KO today declared a quarterly dividend of $0.44 per share unchanged from its previous dividend

Record date: June 15th
Payable date: July 1st",12,2,
79,2022-04-27,517473849,1519368916807700483,,"$KO The Coca-Cola Company today declared a dividend of 44 cents per common share. The dividend is payable July 1, 2022, to shareowners of record of the company as of the close of business on June 15, 2022.",2,0,
81,2022-04-27,1069693680066420736,1519368650536456198,"New York, USA","$KO [15s. delayed]: Issued Press Release on April 27, 13:30:00: Coca-Cola Board of Directors Declares Regular Quarterly Dividend https://t.co/W9UOP53TX3",0,0,https://s.flashalert.me/pvbHZ
82,2022-04-27,2368733657,1519368282385657858,US markets 👉,"First out// $KO: Coca-Cola Board of Directors Declares Regular Quarterly Dividend
https://t.co/dHNAG5oATB",0,0,https://www.marketbit.pro/news/2022/04/27/cocacola-board-of-directors-declares-regular-quarterly-dividend
96,2022-04-27,1353432412227821569,1519351676704067584,,"Is Apple $APPL just a computer company? Is Amazon $AMZN just an e-Commerce company? Is Alphabet $GOOGL just a Search Engine? Does The Coca-Cola Company $KO just sell Coca-Cola?
Is $SoFi just a student loan company? The answer is no and it makes up less than 10% of their revs.🤦‍♂️",6,0,
97,2022-04-25,1258143450744197121,1518551623672508420,,"Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%: 

https://t.co/vsEoldJDns

#News
#Retail
#Youdle
#Shopping
#ProductSightings",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
98,2022-04-25,1184025479084331008,1518551224316043264,India,"(Earnings) Coca-Cola ( $KO ) Actual.EPS=0.64 vs Est.EPS=0.5792, Actual.Rev=10.5B vs Est.Rev=9.83B, Last Quote: $65.25 https://t.co/4OOaHlsEvy",0,0,
99,2022-04-25,933631977923657730,1518551051787407361,愛知⇄東京のアラフィフ？設定ですがなにか？（笑）,"Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%

https://t.co/vrzLmw3OOy",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=androidappshare
100,2022-04-25,475834466,1518551017155186688,,Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% https://t.co/0uNTyjiBpX,0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
101,2022-04-25,4876582225,1518550650988158976,,StockTwits Trending Alert: Trading recent interest in COCA-COLA $KO https://t.co/WLuzdm6XNj,0,0,https://ideas.quantcha.com/2022/04/25/stocktwits-trending-alert-trading-recent-interest-in-coca-cola-ko-2/
102,2022-04-25,7455352,1518550539474247680,Chicago,$KO Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%    https://t.co/gXvcOcA3n8,6,1,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
103,2022-04-25,2981421573,1518550361665064961,,$KO Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% https://t.co/JKLotxKJpk,3,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
104,2022-04-25,2612788123,1518550001420546050,,"$KO Coca-Cola Q1 EPS $0.64 Beats $0.58 Est., Sales $10.50B Beat $9.83B Est.; Expects Direct Impacts from Suspension of its Business In Russia Estimated to be 1-2% Impact to Net Revenues and Operating Income",0,0,
105,2022-04-25,474139477,1518549634582515712,"Oxford, United Kingdom","RT @Trade_The_News: $KO Reports Q1 $0.64 v $0.58e, Rev $10.5B v $9.91Be; Q1 Organic Rev +18%  v +9.5%e; Notes 1-2% impact to Rev and Op of…",0,5,
106,2022-04-25,255598976,1518549506031333376,,Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% https://t.co/m0nz7WmxOt #retail #business,0,0,https://ift.tt/NxpaV8k
107,2022-04-25,1425614648,1518549315681234947,London,"RT @LiveSquawk: $KO | Coca Cola Q1 22 Earnings:  
- Adj EPS: $0.64 (est $0.58) 
- Revenue: $10.5Bln (est $9.84Bln) 
- Sees Full Year Adj Or…",0,16,
108,2022-04-25,23482357,1518549281090719744,"Atlanta, Georgia, USA",$KO releases Q1 2022 results. View non-GAAP financial measures reconciliation &amp; safe harbor: https://t.co/gZLq8aINys https://t.co/wY2zADjYWJ,62,6,http://cokeurl.com/4uzrf5
109,2022-04-25,1269758829690052610,1518549078233305092,"Manhattan, NY","Coca-Cola CEO says 'we are confident in our full-year guidance'
$KO",0,0,
110,2022-04-25,3700990397,1518548033687986176,"Florida, USA",Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% @CNBC https://t.co/brZx6Y30EI,1,1,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter
111,2022-04-25,227469180,1518547952263905280,,Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% @CNBC https://t.co/5gsH0EgQhH,0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter
112,2022-04-25,229644643,1518547876624109568,千葉県浦安市舞浜,"RT @TheStreet: Coca-Cola Tops Q1 Earnings Forecast, Holds 2022 Profit Outlook Amid 'Highly Dynamic and Uncertain' Global Markets
https://t.…",0,5,
113,2022-04-25,1481542148990418950,1518547828615831553,"Abuja, Nigeria","Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%

https://t.co/oIDeND1cH4",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=androidappshare
115,2022-04-25,270492072,1518547716871270408,,Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% https://t.co/2I7Nd1stey via CNBC #news #CNBC,0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
117,2022-04-25,1476900499530076163,1518547416429088772,"New Jersey, USA","#diversify

Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% @CNBC https://t.co/LS5TtRlE2x",1,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=iosappshare%7Ccom.apple.UIKit.activity.PostToTwitter
118,2022-04-25,15281391,1518547357733953536,"New York, NY","Coca-Cola Tops Q1 Earnings Forecast, Holds 2022 Profit Outlook Amid 'Highly Dynamic and Uncertain' Global Markets
https://t.co/BhLldfOdSX
@mdbaccardax
$KO $PEP",3,5,https://www.thestreet.com/markets/coca-cola-tops-q1-earnings-forecast-holds-2022-profit-outlook
120,2022-04-25,245990799,1518547248614887432,"PLAINFIELD, IL","Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%

https://t.co/163EO9ypQE",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=androidappshare
121,2022-04-25,573866808,1518546856883548160,Argentina,"Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%

https://t.co/m4PdrmZmu4",4,1,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=androidappshare
122,2022-04-25,1390567843834605569,1518546853276622848,,"$KO | Coca Cola Q1 22 Earnings:  
- Adj EPS: $0.64 (est $0.58) 
- Revenue: $10.5Bln (est $9.84Bln) 
- Sees Full Year Adj Organic Revenue: +7% To +8% (est +8.02%)",1,0,
123,2022-04-25,1269758829690052610,1518546723664285697,"Manhattan, NY","Coca-Cola says Q2 revenue to include 4% currency headwind 
$KO",0,0,
124,2022-04-25,1293678337857028096,1518546702742994945,United States,"$KO - Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%
Earnings per share: 64 cents adjusted vs. 58 cents expected
Revenue: $10.5 billion",1,0,
125,2022-04-25,3316713321,1518546587772928002,"Toronto, Ontario",Coca-Cola Q1 EPS up 64% to 64 cents https://t.co/DvJdjaerpR,0,0,https://www.marketwatch.com/tools/quotes/quotes.asp?symb=KO&siteid=rss
126,2022-04-25,1411014555715530752,1518546512070217728,"Kuching, Sarawak","Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%

https://t.co/VFZwnk3C9k",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=androidappshare
127,2022-04-25,1041296725640527872,1518546488191819777,Etats-Unis,"Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%
#123INFO 
https://t.co/pUgJAun0eR",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
128,2022-04-25,23482357,1518546445913178112,"Atlanta, Georgia, USA",$KO Q1 2022 results announced. View non-GAAP financial measures reconciliation &amp; safe harbor: https://t.co/hfyiPFWUEa,13,1,http://cokeurl.com/5wqse3
129,2022-04-25,140669007,1518546425877090305,"DFW, TX",Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%...#CNBC #Earnings https://t.co/JhF0hONhWG,0,0,https://cnb.cx/3rL93sk
130,2022-04-25,104257356,1518546354540318721,"New York, USA",Coca-Cola must have jacked up prices A LOT (due to inflation) to get sales gains like this $KO https://t.co/q6v7AqFFOJ,5,0,
131,2022-04-25,118200525,1518546250156683264,"Scottsdale, AZ",🇺🇸 Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% https://t.co/7Sq713tKfd,1,0,https://cnb.cx/3rNUjsG
132,2022-04-25,983330527477424128,1518546227893313536,"Amsterdam, Nederland",Coca-Cola profiteert van terugkeer horeca en sterke pricing power; Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% https://t.co/6Ybs6mKQxG,1,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=iosappshare%7Ccom.apple.UIKit.activity.CopyToPasteboard
133,2022-04-25,1435005220791193604,1518546227666821122,"GTA, Ontario","Coca-Cola earnings beat Wall Street estimates as revenue jumps 16%

https://t.co/UIVi7kbEIE",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=androidappshare
134,2022-04-25,4920178676,1518546087375630336,,Coca-Cola earnings beat Wall Street estimates as revenue jumps 16% https://t.co/Oxh5axYbPq,2,0,https://cnb.cx/3kazO5q
135,2022-04-25,27346078,1518546065338871809,Liberland,Coca-Cola (KO) Q1 2022 earnings https://t.co/pQxmMmzC0K,0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
138,2022-04-25,1223841954,1518545904663470082,"London, England",Coca-Cola (KO) Q1 2022 earnings should give a boost to #Wallstreet #Dow  https://t.co/8OEuuVW0lH,0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
139,2022-04-25,2858171394,1518545814246809600,"Bay Area, California",KO Infographic: All you need to know about Coca-Cola’s Q1 2022 earnings results https://t.co/dPKt23wmcK,0,0,https://news.alphastreet.com/ko-infographic-all-you-need-to-know-about-coca-colas-q1-2022-earnings-results/
142,2022-04-25,1068561714055012352,1518545643936968705,,A Form 8-K [Press/News Current Report] filing has been made with the SEC:  $KO COCA COLA CO  https://t.co/4X9B7o25q9,0,0,https://sec.report/Document/0000021344-22-000013/
143,2022-04-25,1184025479084331008,1518545553008779264,India,"$KO @ 65.25 (-1.45%) : Coca-Cola Non-GAAP EPS of $0.64 beats by $0.06, revenue of $10.5B beats by $670M  https://t.co/cphRurkVZA https://t.co/Nnjiyal7CC",0,0,https://t.me/mehabeclub
145,2022-04-25,1269758829690052610,1518545492447272960,"Manhattan, NY","Coca-Cola backs FY22 organic revenue growth view 7%-8%
$KO",0,0,
146,2022-04-25,1269758829690052610,1518545484100603905,"Manhattan, NY","Coca-Cola reports Q1 global unit case volume up 8%
$KO",0,0,
147,2022-04-25,1269758829690052610,1518545475409956865,"Manhattan, NY","Coca-Cola reports Q1 adjusted operating margin 31.4% vs. 31% a year ago
$KO",0,0,
148,2022-04-25,54852698,1518545239946022913,"The Nation's Capital, MD & VA",$KO Coca-Cola (NYSE:KO) reported quarterly earnings of $0.64 per share which beat the analyst consensus estimate of $0.58 by 10.34 percent. This is a 16.36 percent increase over earnings of $0.55 per share from the same period last year. ✨So #NXTLVL 😁,7,0,
149,2022-04-25,47519668,1518545162145832960,Global,"$KO Reports Q1 $0.64 v $0.58e, Rev $10.5B v $9.91Be; Q1 Organic Rev +18%  v +9.5%e; Notes 1-2% impact to Rev and Op of its Russia business suspension (The Coca-Cola Company)
- Affirms FY22 comparable EPS 5-6% (prior +5-6%), Organic Rev +7-8%",12,5,
151,2022-04-25,1325115160353103872,1518545091018715136,,"$KO 📜 Coca-Cola Company filed SEC Form 8-K: Results of Operations and Financial Condition, Financial Statements and Exhibits

https://t.co/ZhccQmowQj

This insight appeared 45 seconds early at ⚡ https://t.co/TvhaBDQJ0C ⚡",0,0,https://quantisnow.com/i/2759541?utm_source=twitter
153,2022-04-25,1134049078424162304,1518545049440641024,"New York, NY",Coca-Cola is about to report earnings. Here's what to expect $KO https://t.co/qxTilNLRKH,0,0,https://newsfilter.io/articles/coca-cola-is-about-to-report-earnings-heres-what-to-expect-27226a326b04b365060cde0137dac33b
156,2022-04-25,1402056489842274306,1518544914774061056,,"$KO SEC Filing: 8-K Earnings - COCA COLA CO (0000021344) April 25
 
https://t.co/4qT97Kl77S",0,0,https://marketnewswire.live/index.php/2022/04/25/8-k-earnings-coca-cola-co-0000021344-april-25/
157,2022-04-25,47519668,1518544864471916546,Global,"$KO Reports Q1 $0.64 v $0.58e, Rev $10.5B v $9.91Be; Q1 Organic Rev +18%  v +9.5%e; Notes 1-2% impact to Rev and Op of its Russia business suspension (The Coca-Cola Company)
(More at https://t.co/NwzjicDnGI)",2,1,https://www.tradethenews.com/?twtId=29188
159,2022-04-25,1134049078424162304,1518544297603309569,"New York, NY",Coca-Cola Reports First Quarter 2022 Results $KO https://t.co/yDUSnlXQg5,1,0,https://newsfilter.io/articles/coca-cola-reports-first-quarter-2022-results-c9fbf8f99e47bbec260b4c240a4205a8
160,2022-04-25,1325115160353103872,1518544293543116801,,"$KO 📰 Coca-Cola Reports First Quarter 2022 Results

https://t.co/lfwj21zvlu

45 seconds delayed.",0,0,https://quantisnow.com/i/2759528?utm_source=twitter
161,2022-04-25,188901937,1518544135128375299,,$KO news Coca-Cola Reports First Quarter 2022 Results,0,0,
162,2022-04-25,1258143450744197121,1518544070775345152,,"Coca-Cola is about to report earnings. Here's what to expect: 

https://t.co/vsEoldJDns

#News
#Retail
#Youdle
#Shopping
#ProductSightings",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
163,2022-04-25,787546010,1518543864239636480,Doghouse,Coca-Cola is about to report earnings. Here's what to expect https://t.co/wZUkB4Bdix #news #topstories #berkleybearnews,0,0,http://dlvr.it/SPBkVj
164,2022-04-25,1280330012562874369,1518543858652487681,Southern California,Coca-Cola is about to report earnings. Here's what to expect https://t.co/yanGbuP2PN,0,0,http://dlvr.it/SPBkRc
165,2022-04-25,1500164632027226121,1518543857931022336,,Coca-Cola is about to report earnings. Here's what to expect https://t.co/rF9hNM4Kqn yeager tristan #cnbc #news #michaelangelo,0,0,http://dlvr.it/SPBkTD
166,2022-04-25,1485373354429370376,1518543453772484608,"London, United Kingdom","🇺🇸 𝗨𝗦 𝗲𝗮𝗿𝗻𝗶𝗻𝗴𝘀 𝘀𝗲𝗮𝘀𝗼𝗻 | Coca-Cola $KO will report its latest earnings results before the opening bell on Wall Street today.

Here is what the expectations are ahead of the earnings call 👇🏻

EPS: $0.58
Revenue: $9.832b

#CocaCola #Earnings #Stocks #WallStreet",0,0,
167,2022-04-25,137298172,1518541953914351617,Tirupati,Coca-Cola (KO) Q1 2022 earnings https://t.co/wrxoDBwiYj,0,0,https://profitplus.co.in/2022/04/25/coca-cola-ko-q1-2022-earnings/
168,2022-04-25,1304478395280039937,1518541833873338368,,"Coca-Cola is about to report earnings. Here's what to expect

https://t.co/lXFaRjtWNb
#finance #money #trading #debtfree #news #currency #globaltrade #investment #investing #stockmarket #wealth #realestate #markets #economy",1,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
169,2022-04-25,2778274199,1518540202255556609,"Philadelphia, PA","Coca-Cola is about to report earnings. Here's what to expect

https://t.co/IWjyHjml12",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html?__source=androidappshare
170,2022-04-25,270492072,1518540165073022977,,Coca-Cola is about to report earnings. Here's what to expect https://t.co/2I7Nd1stey via CNBC #news #CNBC,0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
171,2022-04-25,382691414,1518539046301093888,United States,Coca-Cola (KO) Q1 2022 earnings https://t.co/Dqqpu4TRWQ,0,0,https://democracyinnews.com/coca-cola-ko-q1-2022-earnings/
172,2022-04-25,1041296725640527872,1518538934237736960,Etats-Unis,"Coca-Cola is about to report earnings. Here's what to expect
#123INFO 
https://t.co/pUgJAun0eR",0,0,https://www.cnbc.com/2022/04/25/coca-cola-ko-q1-2022-earnings.html
173,2022-04-25,140669007,1518538875047657472,"DFW, TX",Coca-Cola is about to report earnings. Here's what to expect...#CNBC #Earnings https://t.co/JhF0hONhWG,0,0,https://cnb.cx/3rL93sk
174,2022-04-25,356631237,1518538139786264577,"India, UAE, Kuwait, Qatar",Coca-Cola (KO) Q1 2022 earnings https://t.co/xnhy3ICbOx,0,0,https://news89.com/coca-cola-ko-q1-2022-earnings/
175,2022-04-25,1193148000450813952,1518537344147677184,Freiburg im Breisgau,RT @CNBC: Coca-Cola is about to report earnings. Here's what to expect https://t.co/lXKwTQ4vW6,0,5,https://cnb.cx/3xRthVl
176,2022-04-25,1374093136495009793,1518537198940737536,USA,Coca-Cola is about to report earnings. Here's what to expect https://t.co/jXwxUWx7px,0,0,http://dlvr.it/SPBfqT
177,2022-04-25,295720136,1518537095073218562,Nairobi-Kenya,Coca-Cola is about to report earnings. Here's what to expect https://t.co/986WTC3Nlv,0,0,https://cnb.cx/38gZPgC
178,2022-04-25,963495628545327104,1518536585611984902,,$KO NEW ARTICLE : Coca-Cola is about to report earnings. Here's what to expect https://t.co/z3n18tNjpa Get all the latest $KO related news here : https://t.co/2RhI5rgGWj https://t.co/JJE1AE5dXJ,0,0,https://www.stck.pro/news/KO/26724957
179,2022-04-25,2940557482,1518536563608604672,"Chicago, IL",Coca-Cola is about to report earnings. Here's what to expect https://t.co/bPzgyFff1I,0,0,http://dlvr.it/SPBfLS
184,2022-04-25,20402945,1518535907158200320,"Englewood Cliffs, NJ",Coca-Cola is about to report earnings. Here's what to expect https://t.co/lXKwTQ4vW6,21,5,https://cnb.cx/3xRthVl
185,2022-04-25,19898168,1518535907040706562,,Coca-Cola is about to report earnings. Here's what to expect https://t.co/iqWzBh0VjU,2,0,https://cnb.cx/3EHLTse
186,2022-04-25,3460125437,1518519963581128704,USA,"RT @StockMKTNewz: Largest stocks that report earnings tomorrow

Before the open:
Coca-Cola $KO
Activision $ATVI
$OTIS
Philips $PHG
Lennox $…",0,10,
187,2022-04-25,4118115682,1518505061114077186,"Meru, Kenya","RT @RufasKe: Top earnings to watch today:

Activision Blizzard, Inc. NASDAQ: $ATVI +16.60% YTD
 
Coca-Cola Co NYSE: $KO +10.03% YTD",0,2,
189,2022-04-25,1336247731589885955,1518504329497436160,"Nairobi, Kenya","Top earnings to watch today:

Activision Blizzard, Inc. NASDAQ: $ATVI +16.60% YTD
 
Coca-Cola Co NYSE: $KO +10.03% YTD",8,2,
190,2022-04-25,1313517451817050113,1518439471728906240,,"$KO--North Star Asset Management Inc. raised its holdings in The Coca-Cola by 6.0% in the 4th quarter, according to the company in its most recent filing with the SEC. The firm owned 30,241 shares of the companys stock after acquiring an additional 1,700 shares...",0,0,
192,2022-04-25,3021456864,1518434430603468801,"Austin, TX",@FrogMoonMama $KO Coca-Cola is my second largest holding and I have some shares in $WMT Walmart too!,0,0,
197,2022-04-25,1444213452403187717,1518418420621996032,The deep blue Honolulu,$KO coca cola last 4d price overlaid with option vol. flow at +$20k on the ask with 1-14DTE shown https://t.co/rdj6Xdckpu,0,0,
198,2022-04-25,1293678337857028096,1518410849223905280,United States,"SOME OF KEY Stocks Earnings week

Coca-Cola $KO
UnitedParcelService $UPS
3M Company $MMM
Microsoft $MSFT
Alphabet $GOOG
Visa $V
GeneralMotors $GM
Boeing $BA
MetaPlatforms $FB
PayPal $PYPL
Ford $F
Twitter $TWTR
Caterpillar $CAT
Mastercard $MA
Apple $AAPL
Amazon $AMZN
Roku $ROKU",2,0,
199,2022-04-25,1445018016371122182,1518410158967336962,"Queens, NY","Almost 180 companies listed in the S&amp;P500 will report results in the coming week. This includes Coca-Cola Company ( $KO ), which looks to extend a bullish streak. #earnings https://t.co/jYwTFX3iEO",0,0,
200,2022-04-25,1390406335343349767,1518401796292726787,"Memphis, TN",$KO imo - Coca Cola is running solely on the strength of the $XLP sector - or - Consumer Staples. $XLP has a lot of short energy diving in - as I think consumer goods have really overshot in the short term - per the likes of $WMT. $KO / $XLP shows little strength as well https://t.co/ZSQExnEkUv https://t.co/8pwYXqH4GP,3,0,https://twitter.com/CarterBills7/status/1518390887390318592
201,2022-04-25,474139477,1518400275840737281,"Oxford, United Kingdom","RT @Live_News_Nick: Good evening. 

No video tonight.

But, I still got you covered. 

What’s ahead for tomorrow: 

Earnings: Coca-Cola $KO…",0,1,
202,2022-04-25,1466153924855959555,1518394650884640770,,"@notthreadguy KO = the stock symbol for Coca-Cola
DA = Delta Airlines

Possible promo partners?

Or just an homage to Yoda?",4,0,
203,2022-04-25,1004458652256882688,1518387931987197952,"Pennsylvania, USA","Good evening. 

No video tonight.

But, I still got you covered. 

What’s ahead for tomorrow: 

Earnings: Coca-Cola $KO, Activision-Blizzard $ATVI, Otis $OTIS, Whirlpool $WHR, Zions Bancorp $ZION

Tune into @SquawkCNBC &amp; @CNBCOvertime for earnings before and after the bell!",9,1,
204,2022-04-25,16637745,1518387677506142208,"Bronx, NY /Everett, WA","The Week Ahead In #Earnings. In The Spotlight: Monday, April 25 - Coca-Cola $KO and Activision Blizzard $ATVI #MarketUpdate #MarketWatch https://t.co/KVSD44f51C",0,0,
205,2022-04-25,563084750,1518385360530780164,,"Monday earnings we are watching includes:
Coca-Cola $KO 
Activision Blizzard $ATVI
https://t.co/LTc6zQBrPs https://t.co/PEWZuyyP3N",2,0,https://traderscommunity.com/traders-market-weekly-technology-stocks-on-thin-ice-with-apple-microsoft-and-amazon-all-reporting/
206,2022-04-24,228426881,1518371485353754624,,"RT @Trading_Sunset: Coca Cola $KO broke a new hist' high, currently +5.2% at $65.25. Earnings due early Monday should be fine. Who doesn't…",0,1,
